Publisher,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Ongakukan,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,
Origin Systems,,,,,,,,,,,,,,,,,,0.09,,,,,,,,,,,,,,,,,,,
Otomate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,
Oxygen Games,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24,,,,0.26,,,,,
Oxygen Interactive,,,,,,,,,,,,,,,,,,,,,,,,,,0.34,2.14,2.29,2.96,3.46,,,,,,,
P2 Games,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,0.4,,,,,
PM Studios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,
PQube,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,0.29000000000000004,1.3599999999999999,2.38,3.23,3.31,3.52,,4.04,4.2700000000000005
Pacific Century Cyber Works,,,,,,,,,,,,,,,,,,,,,,,0.26,,,,,,,,,,,,,,
Pack In Soft,,,,,,,,,,,,,,,,,,,,0.48,,,,,,,,,,,,,,,,,
Pack-In-Video,,,,,,,,,,,,,,,,0.11,,,,,,,,,,,,,,,,,,,,,
Palcom,,,,,,,,,,4.17,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panther Software,,,,,,,,,,,,,,,,0.17,,,,,,,,,,,,,,,,,,,,,
Paon,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14,0.21000000000000002,,0.23,0.25,,,,,
Paon Corporation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,
Paradox Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01
Paradox Interactive,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.07,0.22,0.37,0.61,0.63,,0.65,0.79,0.8500000000000001
Parker Bros.,,3.35,4.470000000000001,4.970000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Performance Designed Products,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.36,,,,,,,
Phantagram,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,
Phantom EFX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,,,,,,,
Phenomedia,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,0.14,0.19,,,,,,,
Phoenix Games,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,
Piacci,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,
Pinnacle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.04,1.42,,,,,,,
Pioneer LDC,,,,,,,,,,,,,,,,,0.62,,0.69,,,0.74,,,,,,,,,,,,,,,
Play It,,,,,,,,,,,,,,,,,,,,,,,1.1500000000000001,1.4600000000000002,3.88,4.31,,,,,,,,,,,
PlayV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.44,,,,,,
Playlogic Game Factory,,,,,,,,,,,,,,,,,,,,,,,,,,0.12,,,0.33999999999999997,1.2,,,,,,,
Playmates,,,,,,,,,,,,,,,,,,0.28,,,,,,,,,,,,,,,,,,,
Playmore,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,
Plenty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,
Plum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02
Pony Canyon,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,
PopCap Games,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,0.04,0.08,0.5,1.04,2.12,2.35,,,,,
PopTop Software,,,,,,,,,,,,,,,,,,,,0.11,,,,,,,,,,,,,,,,,
Popcorn Arcade,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,0.49,,,,,,,,
Pow,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,
Press Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,
Princess Soft,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,0.05,,0.07,,,,,,,,
Prototype,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,0.16999999999999998,0.3,0.41,0.44999999999999996,0.52,0.53,0.5800000000000001,0.6000000000000001,0.6100000000000001
Psygnosis,,,,,,,,,,,,,,,0.06,1.75,4.07,5.800000000000001,6.540000000000001,7.150000000000001,7.270000000000001,,,,,,,,,,,,,,,,
Quelle,,,0.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quest,,,,,,,,,,,,,,,,0.71,,,,,,,,,,,,,,,,,,,,,
Quinrose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12,0.18,0.19999999999999998,0.21999999999999997,,
Quintet,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,
RED Entertainment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,
RTL,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.26,1.92,2.0,,,,,,,
Rage Software,,,,,,,,,,,,,,,,,,,,,,0.14,1.42,,,,,,,,,,,,,,
Rain Games,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,
Ravenscourt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,
Rebellion,,,,,,,,,,,,,,,,,,,,,,0.48,0.49,,,,,,,,,,,,,,
Rebellion Developments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.30000000000000004,
Red Orb,,,,,,,,,,,,,,,2.81,,,5.24,,,,,,,,,,,,,,,,,,,
Red Storm Entertainment,,,,,,,,,,,,,,,,,,,,2.28,,2.32,,,,,,,,,,,,,,,
RedOctane,,,,,,,,,,,,,,,,,,,,,,,,,,2.4499999999999997,7.57,8.68,,,,,,,,,
Reef Entertainment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12,0.24,,0.33999999999999997,,,,
Rejet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01
Revolution (Japan),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,
Revolution Software,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06999999999999999,
Rising Star Games,,,,,,,,,,,,,,,,,,,,,,,,,,0.7999999999999999,2.26,7.14,11.559999999999999,14.37,15.36,16.72,16.81,17.29,,,17.31
Riverhillsoft,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,
Rocket Company,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6900000000000001,1.1300000000000001,1.1400000000000001,1.2000000000000002,1.35,1.4200000000000002,1.5500000000000003,1.6300000000000003,1.7000000000000004,1.7900000000000005,1.8200000000000005
Rondomedia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.73,2.27,2.31,2.5700000000000003,,,,2.6,
Russel,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.12,1.1300000000000001,1.1600000000000001,1.2100000000000002,,,,,,
SCS Software,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13,,,,
SCi,,,,,,,,,,,,,,,,,,,,,,,0.87,2.39,3.25,3.52,,,,,,,,,,,
SNK,,,,,,,,,,,,,,0.21000000000000002,1.01,1.29,1.75,1.83,2.23,2.34,2.52,,,,,2.59,,,,,,,,,,,
SNK Playmore,,,,,,,,,,,,,,,,0.28,,,0.32,0.45,,,,,0.48,0.6599999999999999,0.6799999999999999,0.8799999999999999,0.9199999999999999,0.98,1.02,,,,,,
SPS,,,,,,,,,,,,,,,,,0.12,,,,,,,,,,,,,,,,,,,,
SSI,,,,,,,,,,,,,,,,,0.19,,,,,,,,,,,,,,,,,,,,
Sammy Corporation,,,,,,,,,,,,,,0.19,,,,,,,,0.53,1.49,1.65,2.65,,2.73,,,,,,,,,,
Saurus,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,
Scholastic Inc.,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.83,1.8900000000000001,,2.47,2.91,,,,,
Screenlife,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.83,,0.8999999999999999,0.9199999999999999
Sears,,,,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sega,,,0.4,,,,,,,,3.0,7.34,15.32,17.25,24.78,32.71,37.0,39.14,43.730000000000004,48.09,51.970000000000006,58.57000000000001,71.05000000000001,83.61000000000001,95.54000000000002,107.13000000000002,123.48000000000002,148.15000000000003,185.34000000000003,210.26000000000002,234.33,251.23000000000002,260.46000000000004,265.72,271.36,272.91,273.68
Seta Corporation,,,,,,,,,,,,,,,,0.33,0.63,,,,,,,,,,,,,,,,,,,,
Seven45 Studios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.26,,,,,,
Seventh Chord,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,,
Shogakukan,,,,,,,,,,,,,,,,0.11,,,,,,,,,,,0.31,0.41000000000000003,,,,,,,,0.44000000000000006,
Sierra Entertainment,,,,,,,,,,,,,,,,,,,,,,,0.23,,,,,,,,,,,,,,
Simon & Schuster Interactive,,,,,,,,,,,,,,,,,,,,,,,0.11,,,,,,,,,,,,,,
Slightly Mad Studios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3800000000000001,
Slitherine Software,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,0.21000000000000002,,,,,,
Societa,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,
Sold Out,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02
Sonnet,,,,,,,,,,,,,,,,0.04,0.06,,,,,,,,,,,,,,,,,,,,
Sony Computer Entertainment,,,,,,,,,,,,,,,3.43,21.88,56.95,100.85,135.49,171.73000000000002,193.42000000000002,238.96,264.93,289.25,324.41,350.79,384.6,422.14000000000004,448.78000000000003,485.31000000000006,520.2,547.82,560.6700000000001,573.2800000000001,592.3000000000001,603.3100000000001,609.87
Sony Computer Entertainment America,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1800000000000002,,
Sony Computer Entertainment Europe,,,,,,,,,,,,,,,,,,,,,,3.17,,,4.88,,,,,,,,5.13,15.649999999999999,22.25,23.89,
Sony Music Entertainment,,,,,,,,,,,,,,,,,,,,,,0.14,,,,,,,,,,,,,,,
Sony Online Entertainment,,,,,,,,,,,,,,,,,,,,,,,,0.62,1.9,2.55,2.71,,,,,3.5300000000000002,,,,,
SouthPeak Games,,,,,,,,,,,,,,,,,,,,0.11,,,,,1.31,1.88,2.02,3.06,3.8,5.77,6.35,6.51,,,,,
Spike,,,,,,,,,,,,,,,,,,,,,,0.13,0.25,,0.33,,1.47,3.3899999999999997,3.78,4.92,5.55,5.74,6.15,,,,
Spike Chunsoft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,
Sprite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03
Square,,,,,,,,,,,,1.77,,,1.8800000000000001,,,2.5100000000000002,,3.12,,3.64,,,,,,,,,,,,,,,
Square EA,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,
Square Enix,,,,,,,,,,,,,,,,,,,,,,,0.32,2.7399999999999998,10.88,17.68,31.11,47.41,57.44,68.27,85.71,98.97999999999999,109.35,123.57,133.92,142.77999999999997,146.30999999999997
SquareSoft,,,,,,,,0.84,1.6,2.7,4.1,5.24,8.66,11.66,15.4,20.5,21.71,28.39,35.08,48.599999999999994,55.14999999999999,55.39999999999999,55.51999999999999,57.64999999999999,,,,,,,,,,,,,
Stainless Games,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01
Starfish,,,,,,,,,,,,,,,,,,0.36,,0.47,,0.52,,,,,,0.62,,0.64,0.66,0.7000000000000001,0.7200000000000001,,,,
Starpath Corp.,,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sting,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,0.13,0.24,0.62,,0.65,,,,,,
Storm City Games,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.36,1.5099999999999998,1.5999999999999999,,,,,
Strategy First,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,
Success,,,,,,,,,,,,,,,,,,,1.15,1.17,1.18,1.27,1.3,,,1.37,1.4000000000000001,1.7200000000000002,1.87,1.8800000000000001,,,,1.9500000000000002,1.9600000000000002,,
Summitsoft,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,
Sunflowers,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,
Sunrise Interactive,,,,,,,,,,,,,,,,,,,,,0.13,,,,,,0.15,0.16999999999999998,,,,,,,,,
Sunsoft,,,,,,,,,,,,,,,0.12,0.15,0.22,0.33,0.47000000000000003,0.6100000000000001,0.8600000000000001,,,,,,,,,,,0.9500000000000001,,,,,
Sweets,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,0.05,,,,,,,
Swing! Entertainment,,,,,,,,,,,,,,,,,,,0.05,,0.22999999999999998,0.33999999999999997,0.48,,,,,,,,,,,,,,
Syscom,,,,,,,,,,,,,,,,,,,0.16,0.27,,,,,,,,,,,,,,,,,
System 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22,,,
System 3 Arcade Software,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.39,1.7200000000000002,1.7800000000000002,1.8000000000000003,,,,,,
System Soft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,0.04,0.05,,,,,
T&E Soft,,,,,,,,,,,,,,0.12,,,,,,,,,,,,,,,,,,,,,,,
TDK Core,,,,,,,,,,,,,,,,,,,,,0.18,,0.37,,,,0.59,0.62,,,,,,,,,
TDK Mediactive,,,,,,,,,,,,,,,,,,,,,,0.75,4.4399999999999995,7.22,8.55,,,,,,,,,,,,
TGL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,0.09999999999999999,
THQ,,,,,,,,,,,,,,,,0.63,,2.53,15.7,19.71,35.57,57.82,84.7,114.08,142.8,168.03,193.5,226.79,257.24,288.07,310.52,337.31,344.01,344.37,,,
TOHO,,,,,,,,,,,,,,0.11,,,,,,,,,,,,,,,,,,,,,,,
TYO,,,,,,,,,,,,,,,,,,,0.42,,,,,,,,,,,,,,,,,,
Taito,,0.53,,,,,,,,,,,,,0.99,1.05,,2.14,,2.67,,2.73,2.96,2.9699999999999998,,,3.03,3.11,,,3.13,,,,,,
Takara,,,,,,,,,,,,,0.39,0.8400000000000001,1.8000000000000003,1.8500000000000003,2.14,2.72,3.04,3.09,,3.37,3.41,3.45,,,,,,,,,,,,,
Takara Tomy,,,,,,,,,,,,,,,,,,,,,,,,,,,0.34,0.8400000000000001,1.8900000000000001,2.19,2.41,2.43,,2.5900000000000003,,2.7,
Take-Two Interactive,,,,,,,,,,,,,,,,,,2.7199999999999998,8.17,9.85,15.879999999999999,36.31,56.6,67.17,91.28,117.57,138.16,157.97,204.15,223.26,259.34,277.37,298.95,351.36,381.62,396.65,399.53999999999996
Takuyo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,
TalonSoft,,,,,,,,,,,,,,,,,,,,,,0.87,,,,,,,,,,,,,,,
Team17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,
Team17 Software,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,
TechnoSoft,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,
Technos Japan Corporation,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,
Tecmo Koei,,,,,,,,,,,,0.53,0.8200000000000001,1.97,2.5,3.04,3.69,5.42,5.8,6.43,8.3,9.010000000000002,11.310000000000002,15.490000000000002,17.990000000000002,21.270000000000003,24.900000000000002,30.480000000000004,34.56,36.6,39.02,42.230000000000004,44.660000000000004,47.330000000000005,50.370000000000005,52.63,53.550000000000004
Telegames,,,,,,,,,,,,,,,,,,,,0.02,,,,0.22,,0.24,,0.78,0.86,,1.03,,,,,,
Telltale Games,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35,,,2.28,2.67,2.88
Telstar,,,,,,,,,,,,,,,,0.06,,,0.27,,,,,,,,,,,,,,,,,,
Tetris Online,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.43,,,,,
Teyon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,
The Adventure Company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,0.51,,,,,,,
The Game Factory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,,,,,,
The Learning Company,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,0.1,,,,,,
Tigervision,,1.14,1.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time Warner Interactive,,,,,,,,,,,,,,,0.11,0.19,0.35,,,,,,,,,,,,,,,,,,,,
Titus,,,,,,,,,,,,,,0.07,,,,0.54,0.8500000000000001,1.83,1.9100000000000001,2.9000000000000004,3.3000000000000003,3.3200000000000003,,,,,,,,,,,,,
Tivola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,0.17,,,,,,,
Tommo,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,,0.16999999999999998,,0.21,,,,,
Tomy Corporation,,,,,,,,,,,,,,,,0.33,0.67,,0.9,,,,,2.24,2.68,3.3800000000000003,3.4000000000000004,4.42,4.81,4.84,4.97,,,,,,
TopWare Interactive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3,1.33,,,1.34,
Touchstone,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14,1.58,,,,,,,,
Tradewest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,,,,,,
Trendy Entertainment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,
Trion Worlds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.67,0.68,1.8199999999999998,,,
Tripwire Interactive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14,,,,,
Tru Blu Entertainment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.28,
Tryfirst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,
Type-Moon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,
U.S. Gold,,,,,,,,,,,,,,,,0.18,0.33,,,,,,,,,,,,,,,,,,,,
UEP Systems,,,,,,,,,,,,,,,,,,2.25,,,,,,,,,,,,,,,,,,,
UFO Interactive,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.18,0.35,0.91,0.9500000000000001,0.9600000000000001,,,,
UFO Interactive Games,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,
UIG Entertainment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01
Ubisoft,,,,,,,,,,,,,,,,3.03,3.19,3.44,3.7399999999999998,8.35,13.1,18.09,34.54,51.43,67.13,83.61999999999999,101.13999999999999,149.73999999999998,208.11999999999998,255.22999999999996,297.84999999999997,345.89,383.2,410.59,452.53999999999996,465.33,475.09
Ubisoft Annecy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.43,2.56,3.79,4.46,,,,
Ultravision,,,0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Universal Gamex,,,0.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Universal Interactive,,,,,,,,,,,,,,,,,,,,,,5.92,14.84,17.77,,,,,,,,,,,,,
Valcon Games,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,0.14,0.19,0.33,0.49,0.5,,,,,,
ValuSoft,,,,,,,,,,,,,,,,,,,,,,,,,,0.24,,,0.27,0.38,,0.39,,,,,
Valve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.74,,,,,
Valve Software,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.37,,3.2300000000000004,,,,,
Vap,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,
Vatical Entertainment,,,,,,,,,,,,,,,,,,,,,0.22,,,,,,,,,,,,,,,,
Vic Tokai,,,,,,,,,,,,,,,,,0.12,0.27,,,,,,,,,,,,,,,,,,,
Victor Interactive,,,,,,,,,,,,,,0.11,,0.2,,0.43000000000000005,0.5900000000000001,,0.77,0.87,0.89,,,,,,,,,,,,,,
Video System,,,,,,,,,,,,,0.28,,,,,0.47000000000000003,2.0700000000000003,,2.18,,,,,,,,,,,,,,,,
Views,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,0.03,,
Vir2L Studios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.26,,,,,,,
Virgin Interactive,,,,,,,,,,,,,0.78,,7.59,9.15,23.98,26.26,34.93,36.21,38.76,43.33,43.87,,,,,,,,,,,,,,
Virtual Play Games,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,,,
Virtual Playground,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,
Visco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,
Vivendi Games,,,,,,,,,,,,,,,,0.02,,4.1499999999999995,4.2299999999999995,4.63,4.7299999999999995,8.67,13.02,28.45,35.66,41.879999999999995,46.459999999999994,51.78999999999999,57.94999999999999,58.20999999999999,,,,,,,
Vridge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,
Wanadoo,,,,,,,,,,,,,,,,,,,,,,0.14,0.6000000000000001,0.6300000000000001,,0.6500000000000001,,,,,,,,,,,
Warashi,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,
Wargaming.net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.32999999999999996,,,,,
Warner Bros. Interactive Entertainment,,,,,,,,,,,,,,,,,,,,,,,,0.67,,0.73,1.02,2.42,18.64,32.86,48.43,75.53,89.86,110.25,128.67000000000002,150.41000000000003,153.93000000000004
Warp,,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,
WayForward Technologies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,
Westwood Studios,,,,,,,,,,,,,,,,,,,,1.55,,,,,,,,,,,,,,,,,
White Park Bay Software,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16,,,,,,,,,
Wizard Video Games,,,0.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XS Games,,,,,,,,,,,,,,,,,,,,,,,0.24,,0.3,0.43,,0.45,0.51,1.22,1.46,,,,,,
Xicat Interactive,,,,,,,,,,,,,,,,,,,,,,,0.14,0.17,,,,,,,,,,,,,
Xing Entertainment,,,,,,,,,,,,,,,,,,0.24,,,,,,,,,,,,,,,,,,,
Xplosiv,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.6000000000000001,0.8200000000000001,1.6400000000000001,,,,,,,,
Xseed Games,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.55,0.74,0.85,0.9,
Yacht Club Games,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.32,
Yamasa Entertainment,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,
Yeti,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.02,0.07,0.1,0.21000000000000002,,0.22000000000000003,,,,0.24000000000000002
Yoostar Entertainment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,,,0.4,,,,,
Yuke's,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.06,0.08,,,,,,,,,
Yumedia,,,,,,,,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,,,,
Zenrin,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,0.06,,,,,,,,,
Zoo Digital Publishing,,,,,,,,,,,,,,,,,,,,,,,0.37,2.63,5.55,8.74,9.11,10.28,11.729999999999999,12.87,,,,,,,
Zoo Games,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9400000000000001,3.37,4.470000000000001,4.82,,,,,
Zushi Games,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,0.61,1.8900000000000001,,,,,,,
bitComposer Games,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,0.41000000000000003,,,,,
dramatic create,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,0.11
fonfun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,
iWin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,
id Software,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,
imageepoch Inc.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,
inXile Entertainment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
"mixi, Inc",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.86,
responDESIGN,,,,,,,,,,,,,,,,,,,,,,,,,0.09,0.13,,,,,,,,,,,
